French,English
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
laisse,leash
ville,city
parlé,speak
devrait,should
bébé,baby
heures,hours
aucune,any
place,square
compris,understood
étaient,were
attention,Warning
affaire,case
donner,give
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
première,first
côté,side
tiens,here
point,point
venu,came
suite,after
venez,come
minutes,minutes
demandé,request
mis,placed
aujourd'hui,today
enfin,finally
eau,water
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
loin,far
croire,believe
gros,large
plutôt,rather
bureau,office
